word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved
～掛け,～かけ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,"rack, hanger",fully-absent,,,,,,,no
～か月,～かげつ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,(number of) months,fully-absent,,,,,,,no
～刊,～かん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～刊,fully-absent,,,,,,,no
～巻,～かん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～卷,fully-absent,,,,,,,no
～感,～かん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～感，感觉,fully-absent,,,,,,,no
～間,～かん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～之间，～期间,fully-absent,,,,,,,no
～館,～かん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～馆,fully-absent,,,,,,,no
～画,～が,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～画,fully-absent,,,,,,,no
～外,～がい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～以外,fully-absent,,,,,,,no
～街,～がい,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,town,fully-absent,,,,,,,no
～学部,～がくぶ,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,department of a university,fully-absent,,,,,,,no
～難い,～がたい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,hard (difficult) to do ~,fully-absent,,,,,,,no
～がち,～がち,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,容易～,fully-absent,,,,,,,no
～月,～がつ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,month of year,fully-absent,,,,,,,no
～がる,～がる,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,感到,fully-absent,,,,,,,no
～側,～がわ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～侧,fully-absent,,,,,,,no
～器,～き,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～器,fully-absent,,,,,,,no
～期,～き,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～期,fully-absent,,,,,,,no
～機,～き,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～机,fully-absent,,,,,,,no
～教,～きょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,religion,fully-absent,,,,,,,no
～狂,～きょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,"maniac, fan, freak",fully-absent,,,,,,,no
～きり,～きり,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,only,fully-absent,,,,,,,no
～きる,～きる,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,彻底，完全,fully-absent,,,,,,,no
～切れ,～きれ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,用完，耗尽,fully-absent,,,,,,,no
～気味,～ぎみ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,slightly ~,fully-absent,,,,,,,no
～業,～ぎょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,type of business,fully-absent,,,,,,,no
～行,～ぎょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"line, row",fully-absent,,,,,,,no
～区,～く,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,"~ district, ~ ward, ~ borough",fully-absent,,,,,,,no
～口,～くち,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"~ opening; ~ entrance, ~ exit",fully-absent,,,,,,,no
～くらい; ぐらい,～くらい; ぐらい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,大约,fully-absent,,,,,,,no
～君,～くん,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,~君 (对晚辈或同辈男性的称呼),fully-absent,,,,,,,no
～家,～け,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～家,fully-absent,,,,,,,no
～形,～けい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,shape of ~,fully-absent,,,,,,,no
～系,～けい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"~ system, ~ lineage, ~ group",fully-absent,,,,,,,no
～圏,～けん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"bloc, sphere, area",fully-absent,,,,,,,no
～軒,～けん,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,counter for houses,fully-absent,,,,,,,no
～個,～こ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,"counter for small items (e.g., fruits, cups)",fully-absent,,,,,,,no
～光,～こう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,light,fully-absent,,,,,,,no
～校,～こう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for school,fully-absent,,,,,,,no
～港,～こう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,~ port,fully-absent,,,,,,,no
～国,～こく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,nation of ~,fully-absent,,,,,,,no
～ころ; ～ごろ,～ころ; ～ごろ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,"about, toward, approximately (time)",fully-absent,,,,,,,no
～語,～ご,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,"word, language",fully-absent,,,,,,,no
～号,～ごう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for magazine; the name of ship,fully-absent,,,,,,,no
～ございます,～ございます,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,fixed-expression/conjugated,有,fully-absent,,,,,,,no
～毎,～ごと,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,每～,fully-absent,,,,,,,no
～歳,～さい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,~岁,fully-absent,,,,,,,no
～冊,～さつ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,~本(书),fully-absent,,,,,,,no
～様,～さま,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,～先生/女士/先生,fully-absent,,,,,,,no
～さん,～さん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～先生/～女士/～先生,fully-absent,,,,,,,no
～山,～さん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,the name of mountain,fully-absent,,,,,,,no
～産,～さん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,made in ~,fully-absent,,,,,,,no
～史,～し,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,history of ~,fully-absent,,,,,,,no
～紙,～し,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"newspaper, type of paper",fully-absent,,,,,,,no
～式,～しき,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,~式,fully-absent,,,,,,,no
～室,～しつ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for room,fully-absent,,,,,,,no
～社,～しゃ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for company,fully-absent,,,,,,,no
～者,～しゃ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,person,fully-absent,,,,,,,no
～車,～しゃ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,~ car,fully-absent,,,,,,,no
～手,～しゅ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"~ player, person who does ~",fully-absent,,,,,,,no
～酒,～しゅ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,kind of alcohol,fully-absent,,,,,,,no
～宗,～しゅう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,sect,fully-absent,,,,,,,no
～集,～しゅう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,collection of ~,fully-absent,,,,,,,no
～週間,～しゅうかん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,~ weeks,fully-absent,,,,,,,no
～所,～しょ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,place,fully-absent,,,,,,,no
～署,～しょ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,department,fully-absent,,,,,,,no
～勝,～しょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,count for victory,fully-absent,,,,,,,no
～商,～しょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"merchant, business",fully-absent,,,,,,,no
～症,～しょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,disease,fully-absent,,,,,,,no
～省,～しょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,kind of ministry,fully-absent,,,,,,,no
～証,～しょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,"proof, certificate",fully-absent,,,,,,,no
～色,～しょく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,kind of color,fully-absent,,,,,,,no
～心,～しん,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,mind of ~,fully-absent,,,,,,,no
～寺,～じ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,the name of temple,fully-absent,,,,,,,no
～時,～じ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～点,fully-absent,,,,,,,no
～時間,～じかん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～小时,fully-absent,,,,,,,no
～時間目,～じかんめ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"~th hour, ~th period",fully-absent,,,,,,,no
～中,～じゅう,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,"during, while",fully-absent,,,,,,,no
～女,～じょ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,count for sisters,fully-absent,,,,,,,no
～場,～じょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"kind of field, ground",fully-absent,,,,,,,no
～嬢,～じょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,young woman,fully-absent,,,,,,,no
～条,～じょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for article,fully-absent,,,,,,,no
～畳,～じょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"count for tatami, mat",fully-absent,,,,,,,no
～人,～じん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,counter for people,fully-absent,,,,,,,no
～すぎ,～すぎ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,过度，太～,fully-absent,,,,,,,no
～過ぎる,～すぎる,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,too much ~,fully-absent,,,,,,,no
～ずつ,～ずつ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,每次，各～,fully-absent,,,,,,,no
～済,～ずみ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,已完成,fully-absent,,,,,,,no
～製,～せい,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,made in ~,fully-absent,,,,,,,no
～席,～せき,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～座位,fully-absent,,,,,,,no
～戦,～せん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"counter for games, matches",fully-absent,,,,,,,no
～船,～せん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for ships,fully-absent,,,,,,,no
～前,～ぜん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,before ~,fully-absent,,,,,,,no
～沿い,～そい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,沿着～,fully-absent,,,,,,,no
～艘,～そう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,艘,fully-absent,,,,,,,no
～足,～そく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for shoes,fully-absent,,,,,,,no
～たち,～たち,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,们,fully-absent,,,,,,,no
～代,～だい,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,～年代,fully-absent,,,,,,,no
～台,～だい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～台 (量词，用于车辆、机器),fully-absent,,,,,,,no
～だけ,～だけ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,只; 仅,fully-absent,,,,,,,no
～だす,～だす,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,to start doing ~,fully-absent,,,,,,,no
建て,～だて,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,"~ storied, separate housing",fully-absent,,,,,,,no
～だらけ,～だらけ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,满是~,fully-absent,,,,,,,no
～団,～だん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,团,fully-absent,,,,,,,no
～着,～ちゃく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for clothes; finishing place,fully-absent,,,,,,,no
～ちゃん,～ちゃん,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,suffix for familiar (female) person,fully-absent,,,,,,,no
～著,～ちょ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,written by ~,fully-absent,,,,,,,no
～兆,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,trillion,fully-absent,,,,,,,no
～帳,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"~ book, notebook",fully-absent,,,,,,,no
～庁,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"office, agency",fully-absent,,,,,,,no
～町,～ちょう,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,the town of ~,fully-absent,,,,,,,no
～長,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"leader, head",fully-absent,,,,,,,no
～丁目,～ちょうめ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"~ district (of a town; city, block)",fully-absent,,,,,,,no
～通,～つう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for letters,fully-absent,,,,,,,no
～付,～つき,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,with ~,fully-absent,,,,,,,no
～月,～つき,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,～月,fully-absent,,,,,,,no
～続く,～つづく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"follow, continue, go on",fully-absent,,,,,,,no
～続ける,～つづける,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,继续～,fully-absent,,,,,,,no
～遣い,～づかい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,use of ~,fully-absent,,,,,,,no
～辛い,～づらい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,hard to do ~,fully-absent,,,,,,,no
～滴,～てき,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,drop,fully-absent,,,,,,,no
～点,～てん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for scores,fully-absent,,,,,,,no
～島,～とう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,kind of islands,fully-absent,,,,,,,no
～等,～とう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"level, place",fully-absent,,,,,,,no
～頭,～とう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,counter for animals,fully-absent,,,,,,,no
～通り,～とおり,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"in accordance with ~; following ~; ~ street, ~ avenue",fully-absent,,,,,,,no
～時,～とき,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,lexical,～的时候,fully-absent,,,,,,,no
～ところ,～ところ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,about to do ~,fully-absent,,,,,,,no
～度,～ど,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,counter for occurrences; ~ degree; ~ point,fully-absent,,,,,,,no
～道,～どう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"kind of path, road",fully-absent,,,,,,,no
～どころか,～どころか,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,"rather, far from",fully-absent,,,,,,,no
～内,～ない,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,inside ~,fully-absent,,,,,,,no
～など,～など,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,等等,fully-absent,,,,,,,no
