word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason,source_check_decision,source_check_reason,pinned_tc_meaning,publish_level,level_status
毎年,まいねん,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,lexical,every year,same-writing-different-reading|same-jmdict-entry,,まいとし,毎年,まいとし,N5,まいとし|まいねん|毎年,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,,adv:adverb (fukushi)|n:noun (common) (futsuumeishi),every year; yearly; annually,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
円い,まるい,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",openjlpt|waller,waller-derived,1,lexical,round; circular; spherical,same-reading-different-writing|same-jmdict-entry,丸い,,丸い,まるい,N5,まるい|まろい|丸い|円い,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,"丸い usu. refers to ball-shaped, and 円い to disc-shaped objects",adj-i:adjective (keiyoushi),round; circular; spherical; curved; smooth; harmonious,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
観る,みる,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,lexical,"to see, to watch",same-reading-different-writing|same-jmdict-entry,見る|診る,,見る,みる,N5,みる|見る|視る|覧る|観る,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,"after the -te form of a verb | as 〜てみると, 〜てみたら, 〜てみれば, etc. | uk:word usually written using kana alone",aux-v:auxiliary verb|v1:Ichidan verb|vt:transitive verb,to see; to look; to watch; to view; to observe; to examine,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
行く,ゆく,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,lexical,to go,same-writing-different-reading|same-jmdict-entry,,いく,行く,いく,N5,いく|ゆく|イク|往く|行く,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,after the -te form of a verb; い sometimes omitted in casual speech | col:colloquial | oft. as で〜 | oft. written as イク | sl:slang | uk:word usually written using kana alone | usu. written as 逝く,aux-v:auxiliary verb|v5k-s:Godan verb - Iku/Yuku special class|vi:intransitive verb,to go; to move (towards); to head (towards); to leave (for); to move through; to travel across,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
りっぱ,りっぱ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,kana/loanword,出色，优秀,same-reading-different-writing|same-jmdict-entry,立派,,立派,りっぱ,N4,りっぱ|立派,yes,SINGLE_SOURCE,yes,yes,yes,N5,no,,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi),splendid; fine; handsome; elegant; imposing; prominent,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N5,estimated-source-backed
あかちゃん,あかちゃん,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,infant,same-reading-different-writing|same-jmdict-entry,赤ちゃん,,赤ちゃん,あかちゃん,N3,あかちゃん|赤ちゃん,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),baby; infant,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
集る,あつまる,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",openjlpt|waller,waller-derived,1,lexical,to gather,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,集まる,たかる,集まる,あつまる,N4,あつまる|集まる|集る,yes,SINGLE_SOURCE,yes,no,yes,N4,no,io:irregular okurigana usage,v5r:Godan verb with 'ru' ending|vi:intransitive verb,to gather; to collect; to assemble,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
うかがう,うかがう,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,kana/loanword,拜访；请教,same-reading-different-writing|same-jmdict-entry,伺う,,伺う,うかがう,N3,うかがう|伺う,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,from 御機嫌を伺う | hum:humble (kenjougo) language,v5u:Godan verb with 'u' ending|vi:intransitive verb|vt:transitive verb,to call on someone; to call at a place; to pay a visit; to wait on someone; to ask; to inquire,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
お金持ち,おかねもち,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,lexical,rich man,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),rich person; wealthy person,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
起す,おこす,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",openjlpt|waller,waller-derived,1,lexical,to wake,same-reading-different-writing|same-jmdict-entry,興す|起こす,,起こす,おこす,N4,おこす|起こす|起す,yes,SINGLE_SOURCE,yes,no,yes,N4,no,,v5s:Godan verb with 'su' ending|vt:transitive verb,to raise; to raise up; to set up; to pick up; to wake; to wake up,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
このあいだ,このあいだ,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,"the other day,recently",same-reading-different-writing|same-jmdict-entry,この間,,この間,このあいだ,N3,このあいだ|このかん|この間|此の間,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,adv:adverb (fukushi)|n:noun (common) (futsuumeishi),the other day; lately; recently; during this period; meanwhile; in the meantime,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
御主人,ごしゅじん,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",openjlpt|waller,waller-derived,1,lexical,(honorable) your husband,same-reading-different-writing|same-jmdict-entry,ご主人,,ご主人,ごしゅじん,N4,ごしゅじん|ご主人|御主人,yes,SINGLE_SOURCE,yes,no,yes,N4,no,hon:honorific or respectful (sonkeigo) language,n:noun (common) (futsuumeishi),your husband; her husband,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
ごらんになる,ごらんになる,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,(respectful) to see,same-reading-different-writing|same-jmdict-entry,ご覧になる,,ご覧になる,ごらんになる,N3,ごらんになる|ご覧になる|御覧になる,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,after the -te form of a verb | hon:honorific or respectful (sonkeigo) language,"aux-v:auxiliary verb|exp:expressions (phrases, clauses, etc.)|v5r:Godan verb with 'ru' ending",to see; to look; to watch; to try to ...,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
じゃま,じゃま,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,"hindrance,intrusion",same-reading-different-writing|same-jmdict-entry,邪魔,,邪魔,じゃま,N3,じゃま|邪魔,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,as お〜 | orig. meaning,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,hindrance; obstacle; nuisance; disturbance; interruption; interference,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
ずいぶん,ずいぶん,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,extremely,same-reading-different-writing|same-jmdict-entry,随分,,随分,ずいぶん,N3,ずいぶん|ずい分|随分|隨分,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,uk:word usually written using kana alone,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|adv-to:adverb taking the 'to' particle|adv:adverb (fukushi),very; extremely; surprisingly; fairly; quite; considerably,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
とこや,とこや,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,barber,same-reading-different-writing|same-jmdict-entry,床屋,,床屋,とこや,N4,とこや|床屋,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),barbershop; barber shop; barber,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
におい,におい,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,a smell,same-reading-different-writing|same-jmdict-entry,匂い,,匂い,におい,N4,におい|匂|匂い|臭い|香い,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,臭い used for unpleasant smells,n:noun (common) (futsuumeishi),smell; scent; odour; odor; stench; aura,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
二階建て,にかいだて,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",openjlpt|waller,waller-derived,1,lexical,two storied,fully-absent,,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),two-storied building,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
ぬれる,ぬれる,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,to get wet,same-reading-different-writing|same-jmdict-entry,濡[ぬ]れる|濡れる,,濡れる,ぬれる,N4,ぬれる|濡る|濡れる,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,v1:Ichidan verb|vi:intransitive verb,to get wet,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
ねだん,ねだん,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,price,same-reading-different-writing|same-jmdict-entry,値段,,値段,ねだん,N4,ねだん|値段|直段,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,n:noun (common) (futsuumeishi),price; cost,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
ねっしん,ねっしん,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,enthusiasm,same-reading-different-writing|same-jmdict-entry,熱心,,熱心,ねっしん,N4,ねっしん|熱心,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|n:noun (common) (futsuumeishi),zealous; enthusiastic; ardent; fervent; keen; eager,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
筈,はず,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",openjlpt|waller,waller-derived,1,lexical,it should be so,same-reading-different-writing|same-jmdict-entry,はず,,はず,はず,N3,はず|弭|筈,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,uk:word usually written using kana alone,aux:auxiliary|n:noun (common) (futsuumeishi),should (be); bound (to be); expected (to be); must (be); nock (of a bow); nock (of an arrow),ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
ほめる,ほめる,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,to praise,same-reading-different-writing|same-jmdict-entry,褒める,,褒める,ほめる,N3,ほめる|称める|褒める|誉める|讃める|賞める,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,v1:Ichidan verb|vt:transitive verb,to praise; to commend; to compliment; to speak well of; to speak highly of,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
まじめ,まじめ,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,kana/loanword,serious,same-reading-different-writing|same-jmdict-entry,真面目,,真面目,まじめ,N4,まじめ|マジメ|眞面目|真面目,yes,SINGLE_SOURCE,yes,yes,yes,N4,no,,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|n:noun (common) (futsuumeishi),serious; earnest; sober; grave; honest; sincere,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N4,estimated-source-backed
当り,あたり,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,lexical,命中,same-reading-different-writing|same-jmdict-entry,当たり|辺り,,当たり,あたり,N3,あたり|アタリ|中たり|中り|当たり|当り|魚信,yes,SINGLE_SOURCE,yes,yes,yes,N1,yes,also written as 魚信 | uk:word usually written using kana alone | usu. アタリ,n:noun (common) (futsuumeishi)|suf:suffix,hit; success; guess; prediction; affability; friendliness,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-conflict
後,うしろ,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,afterwards; since then; in the future,same-reading-different-writing|same-writing-different-reading|same-jmdict-entry,うしろ|後ろ,あと|ご|のち,うしろ|後ろ,うしろ,N1|N5,うしろ|後|後ろ,yes,SINGLE_SOURCE,yes,no,yes,N5,yes,io:irregular okurigana usage,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),back; behind; rear,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check. JLPT level conflicts with JMdict/Waller enrichment; add the form but review level before publishing.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-conflict
御,お,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,lexical,honourable,same-reading-different-writing,尾,,,,,,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,hon:honorific or respectful (sonkeigo) language | hum:humble (kenjougo) language | pol:polite (teineigo) language | uk:word usually written using kana alone | usu. before a term with a kun-yomi reading; おん is more formal,pref:prefix,honorific/polite/humble prefix,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed
おそらく,おそらく,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",waller,waller-derived,1,kana/loanword,perhaps,same-reading-different-writing|same-jmdict-entry,恐らく,,恐らく,おそらく,N2,おそらく|恐らく,yes,SINGLE_SOURCE,yes,yes,yes,N3,no,oft. used when predicting a negative outcome | uk:word usually written using kana alone,adv:adverb (fukushi),probably; (most) likely; in all likelihood; I suspect; I dare say; I'm afraid,ADD_AFTER_SOURCE_CHECK,P2,"Only one external family supports the JLPT listing, but exact JMdict form is common; suitable after source/level check.",APPROVE_SOURCE_CHECK,exact JMdict form+reading verified; external JLPT family supports listing; level retained as estimated source-backed band,,N3,estimated-source-backed
