word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,current_levels,current_sources,match_type
握手,あくしゅ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
アクセサリー,アクセサリー,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
アクセル,アクセル,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
あくび,あくび,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,N3,runtime-core,exact
あげる,あげる,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,N5,runtime-core,exact
挙げる,あげる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
揚げる,あげる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
憧れ,あこがれ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
憧れる,あこがれる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
顎,あご,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
浅い,あさい,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
朝寝坊,あさねぼう,N2,"{""N1"": 1, ""N2"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,advanced-bundle,exact
鮮やか,あざやか,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
足跡,あしあと,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
足元,あしもと,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,N4,advanced-bundle,exact
アジア,アジア,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
味わい,あじわい,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
明日,あす,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
焦る,あせる,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
暖かい,あたたかい,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
温かい,あたたかい,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,N4,runtime-core,exact
温まる,あたたまる,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,N2,advanced-bundle,exact
暖める,あたためる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
当たり,あたり,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N3,runtime-core,exact
辺り,あたり,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
当たり前,あたりまえ,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
当たる,あたる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
あちらこちら,あちらこちら,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
あっ,あっ,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",waller,waller-derived,1,N4,advanced-bundle,exact
悪化,あっか,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
圧縮,あっしゅく,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
圧倒,あっとう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,N2,runtime-core,exact
集まり,あつまり,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
宛名,あてな,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
当てはめる,あてはめる,N2,"{""N1"": 1, ""N2"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
宛てる,あてる,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,advanced-bundle,exact
当てる,あてる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
跡,あと,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
後回し,あとまわし,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
アフリカ,アフリカ,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
あふれる,あふれる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
溢れる,あふれる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N2,advanced-bundle,exact
脂,あぶら,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,advanced-bundle,exact
炙る,あぶる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N2,advanced-bundle,exact
アプローチ,アプローチ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
アマチュア,アマチュア,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
余る,あまる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
編み物,あみもの,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,N1,runtime-core,exact
編む,あむ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
アメリカ,アメリカ,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
危うい,あやうい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
怪しい,あやしい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
誤り,あやまり,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
誤る,あやまる,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
歩み,あゆみ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
歩む,あゆむ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
あら,あら,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",waller,waller-derived,1,N2,runtime-core,exact
粗い,あらい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
荒らす,あらす,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
あらすじ,あらすじ,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,N3,advanced-bundle,exact
争い,あらそい,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
争う,あらそう,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
新た,あらた,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
改まる,あらたまる,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
現す,あらわす,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
著す,あらわす,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,advanced-bundle,exact
ありがとう,ありがとう,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,N5,runtime-core,exact
有難う,ありがとう,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N3,advanced-bundle,exact
ありのまま,ありのまま,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,N2,runtime-core,exact
あるいは,あるいは,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
或いは,あるいは,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N3,advanced-bundle,exact
あれこれ,あれこれ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
合わせ,あわせ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N3,runtime-core,exact
合わせる,あわせる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
あわただしい,あわただしい,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,N1,advanced-bundle,exact
安定,あんてい,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
あんな,あんな,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,N5,runtime-core,exact
案の定,あんのじょう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
いい加減,いいかげん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
言い付ける,いいつける,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,advanced-bundle,exact
言い訳,いいわけ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
医院,いいん,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,N1,runtime-core,exact
委員,いいん,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
如何,いかが,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N5,advanced-bundle,exact
生かす,いかす,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
いかに,いかに,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,N2,runtime-core,exact
いかにも,いかにも,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,N2,runtime-core,exact
怒り,いかり,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
医学,いがく,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
息,いき,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
粋,いき,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,advanced-bundle,exact
経緯,いきさつ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N4,advanced-bundle,exact
育成,いくせい,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
幾つ,いくつ,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,N5,advanced-bundle,exact
幾ら,いくら,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,N5,advanced-bundle,exact
生け花,いけばな,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
以降,いこう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
移行,いこう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
イコール,イコール,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
以後,いご,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
いざ,いざ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
意思,いし,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
衣装,いしょう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
衣食住,いしょくじゅう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
維持,いじ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
いじめる,いじめる,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,N1,runtime-core,exact
苛める,いじめる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N4,advanced-bundle,exact
移住,いじゅう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
意地悪,いじわる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
いす,いす,N5,"{""N5"": 1}","{""waller-derived"": ""N5""}",waller,waller-derived,1,N1,advanced-bundle,exact
いずれ,いずれ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
何れ,いずれ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N3,advanced-bundle,exact
以前,いぜん,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
依然,いぜん,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
急ぐ,いそぐ,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N5,runtime-core,exact
板,いた,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
致す,いたす,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
いたずら,いたずら,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,N1,runtime-core,exact
頂,いただき,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N2,runtime-core,exact
いただく,いただく,N4,"{""N4"": 1}","{""waller-derived"": ""N4""}",waller,waller-derived,1,N1,advanced-bundle,exact
頂く,いただく,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt|waller,waller-derived,1,N5,runtime-core,exact
至って,いたって,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N2,runtime-core,exact
痛み,いたみ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
痛む,いたむ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N3,runtime-core,exact
傷める,いためる,N3,"{""N3"": 1}","{""community-independent"": ""N3""}",wordmaster,community-independent,1,N1,runtime-core,exact
炒める,いためる,N3,"{""N1"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N1,advanced-bundle,exact
痛める,いためる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N2,runtime-core,exact
至る,いたる,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
偉大,いだい,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
位置,いち,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N4,runtime-core,exact
一々,いちいち,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N2,advanced-bundle,exact
一応,いちおう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
著しい,いちじるしい,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
一段,いちだん,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",waller,waller-derived,1,N3,runtime-core,exact
一段と,いちだんと,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|wordmaster,community-independent|waller-derived,2,N1,advanced-bundle,exact
一度,いちど,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N5,runtime-core,exact
一部,いちぶ,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",openjlpt|waller,waller-derived,1,N4,runtime-core,exact
一部分,いちぶぶん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
一面,いちめん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N2,runtime-core,exact
一様,いちよう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
一流,いちりゅう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,N3,runtime-core,exact
